oa_id,region,region_key,title,first_author,year,cites,venue,doi,measures,measure_setting,open_world
W4416250878,Silicon sampling (population),A,Modeling Social Opinion Evolution with LLM Agents: Integrating Personality Traits with Embedded Opinion Dynamics,Fan Yang,2025,0,,https://doi.org/10.1109/ijcnn64981.2025.11228193,,,
W7135019073,Silicon sampling (population),A,Simulating Collaborative Cognition: an LLM Agent Framework for Multi-Stance Public Opinion Summarization,Guoshuai Zhang,2026,0,Cognitive Computation,https://doi.org/10.1007/s12559-025-10534-x,,,
W7152642008,Silicon sampling (population),A,"Boundaries of understanding for synthetic respondents: a new knowledge-production framework, methodological risks, and data validation standards",Maria I. Nezgovorova,2026,0,Sociopolitical sciences,https://doi.org/10.33693/2223-0092-2026-16-1-179-186,,,
W7162945180,Silicon sampling (population),A,"Simulating Lay Health-Seeking Behavior with LLM Personas and Illness Vignettes: Reproducibility, Prompt Sensitivity, and Slice Dependence",Yuusuke Harada,2026,0,Qeios,https://doi.org/10.32388/be0zbc.3,,,
W7163649933,Silicon sampling (population),A,A Theory-Driven LLM Agent Design for Generating Synthetic Data in Tele-Triage,Hetiao Slim Xie,2026,0,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-28570-6_14,,,
W4411771877,Silicon sampling (population),A,Evaluating Silicon Sampling: LLM Accuracy in Simulating Public Opinion on Facial Recognition Technology,Marie‐Aline Charles,2025,0,AHFE international,https://doi.org/10.54941/ahfe1006738,,,
W4401904223,Silicon sampling (population),A,Chrono-Sampling: Generative AI Enabled Time Machine for Public Opinion Data Collection,Eduardo Ryô Tamaki,2024,0,,https://doi.org/10.31234/osf.io/49ags,,,
W7166902901,Silicon sampling (population),A,Not-quite-human tastes: the stylized omnivorousness of LLM survey surrogates,Xiangyu Ma,2026,0,ArXiv.org,,,,
W7166728773,Silicon sampling (population),A,Not-quite-human tastes: the stylized omnivorousness of LLM survey surrogates,Xiangyu Ma,2026,0,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2606.30085,,,
W7160291713,Silicon sampling (population),A,Can Synthetic Respondents Reproduce Marketplace Consumer Research?,Marek Šulik,2026,0,Open Science Framework,https://doi.org/10.17605/osf.io/6zqnf,,,
W7160223919,Silicon sampling (population),A,Can Synthetic Respondents Reproduce Marketplace Consumer Research?,Marek Šulik,2026,0,Open MIND,,,,
W4406840427,Silicon sampling (population),A,LLM-PDM: An LLM Persona-Driven Method for replicating personal mobility preferences at scale,Ioannis Tzachristas,2026,0,Communications in Transportation Research,https://doi.org/10.26599/commtr.2026.9640004,,,
W7134050148,Silicon sampling (population),A,The threat of synthetic respondents extends to clinical mental health screening,Kianté Fernandez,2026,0,,https://doi.org/10.31234/osf.io/7ebmy_v1,,,
W4417474235,Silicon sampling (population),A,Polypersona: Persona-Grounded LLM for Synthetic Survey Responses,Tejaswani Dash,2025,0,ArXiv.org,https://doi.org/10.48550/arxiv.2512.14562,,,
W4414691550,Silicon sampling (population),A,Emulating Public Opinion: A Proof-of-Concept of AI-Generated Synthetic Survey Responses for the Chilean Case,Bastián González‐Bustamante,2025,0,ArXiv.org,https://doi.org/10.5281/zenodo.17077752,,,
W7154656204,Silicon sampling (population),A,Adaptive Budget Allocation in LLM-Augmented Surveys,Zikun Ye,2026,0,ArXiv.org,,,,
W7153188382,Silicon sampling (population),A,Your Next Respondent Might Be an LLM: Guidelines for Using Silicon Samples in Marketing Research,Marko Sarstedt,2026,0,NIM Marketing Intelligence Review,https://doi.org/10.2478/nimmir-2026-0004,,,
W7156312605,Silicon sampling (population),A,Replication Data for: When Wording Becomes Variance: Prompt Specification Error in LLM-Based Consumer Surveys,Adam Wasilewski,2026,0,Harvard Dataverse,https://doi.org/10.7910/dvn/uehul1,,,
W7129068855,Silicon sampling (population),A,Large Language Models as Synthetic Respondents for Economic Preferences: A Global Audit,Fadong Chen,2026,0,Research Square,https://doi.org/10.21203/rs.3.rs-8775326/v1,,,
W7155245295,Silicon sampling (population),A,Rectification Difficulty and Optimal Sample Allocation in LLM-Augmented Surveys,Zikun Ye,2026,0,ArXiv.org,,,,
W7160648430,Silicon sampling (population),A,Hierarchy of Personas: Investigating Variation in Synthetic LGBTQ-Related Survey Responses by Persona-Prompted Large Language Models,Ben Lasse Wolf,2026,0,,https://doi.org/10.31235/osf.io/cd53z_v1,,,
W4410894120,Silicon sampling (population),A,Assessing Bias in LLM-Generated Synthetic Datasets: The Case of German Voter Behavior,Leah von der Heyde,2023,0,,https://doi.org/10.31235/osf.io/97r8s_v1,,,
W7164776534,Silicon sampling (population),A,When Synthetic Respondents Reverse Your Findings,SALİH DOĞRU,2026,0,OSF Preprints (OSF Preprints),,,,
W7161915204,Silicon sampling (population),A,From Demographics to Survey Anchors: Evaluating LLM Agents for Modeling Retirement Attitudes,Rubén Garzón,2026,0,ArXiv.org,,,,
W7162817541,Silicon sampling (population),A,Using Zero-Shot LLM-Generated Survey Data for Geographically Explicit Population Synthesis,Taylor Anderson,2026,0,ArXiv.org,,,,
W7108247161,Silicon sampling (population),A,German General Social Survey Personas: A Survey-Derived Persona Prompt Collection for Population-Aligned LLM Studies,"Rupprecht, Jens",2025,0,ArXiv.org,,,,
W4416642072,Silicon sampling (population),A,How Many Human Survey Respondents is a Large Language Model Worth? An Uncertainty Quantification Perspective,Chengpiao Huang,2025,0,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2502.17773,,,
W7152959339,Silicon sampling (population),A,SAPIENT: A Multi-Agent Framework for Corporate Reputation Intelligence Through Sentinel Monitoring and LLM-Based Synthetic Population Simulation,Alper Özpınar,2026,0,Systems,https://doi.org/10.3390/systems14040425,,,
W7163595976,Silicon sampling (population),A,Do Matching Mechanisms Work with LLM Agents?,Yukihiro Hoshino,2026,0,ArXiv.org,,,,
W7134854403,Silicon sampling (population),A,Synthetic Participants Generated by Large Language Models: A Systematic Literature Review,Eduard Kuric,2026,0,Research Square,https://doi.org/10.21203/rs.3.rs-9057643/v1,,,
W7165064106,Silicon sampling (population),A,LLM-Powered Virtual Population for Demand Simulation and Pricing,Chengpiao Huang,2026,0,ArXiv.org,,,,
W4389519488,Individual fidelity,B,Character-LLM: A Trainable Agent for Role-Playing,Yunfan Shao,2023,101,,https://doi.org/10.18653/v1/2023.emnlp-main.814,yes_method,OPEN_RATING,True
W4402670540,Individual fidelity,B,"RoleLLM: Benchmarking, Eliciting, and Enhancing Role-Playing Abilities of Large Language Models",Noah Wang,2024,96,,https://doi.org/10.18653/v1/2024.findings-acl.878,yes_method,OPEN_RATING,True
W4401042604,Individual fidelity,B,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,Hang Jiang,2024,64,,https://doi.org/10.18653/v1/2024.findings-naacl.229,yes_method,GT_FIXED,False
W4404781205,Individual fidelity,B,Two Tales of Persona in LLMs: A Survey of Role-Playing and Personalization,Yu-Min Tseng,2024,56,,https://doi.org/10.18653/v1/2024.findings-emnlp.969,no,NONE,False
W4324129119,Individual fidelity,B,A coupled agent-based model for France for simulating adaptation and migration decisions under future coastal flood risk,Lars Tierolf,2023,43,Scientific Reports,https://doi.org/10.1038/s41598-023-31351-y,no,NONE,False
W4406015426,Individual fidelity,B,Evaluating the ability of large language models to emulate personality,Yilei Wang,2025,31,Scientific Reports,https://doi.org/10.1038/s41598-024-84109-5,yes_method,GT_FIXED,False
W4372272969,Individual fidelity,B,PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,Hang Jiang,2023,27,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2305.02547,yes_method,GT_FIXED,False
W4413472898,Individual fidelity,B,CARE-AD: a multi-agent large language model framework for Alzheimer’s disease prediction using longitudinal clinical notes,Rumeng Li,2025,24,npj Digital Medicine,https://doi.org/10.1038/s41746-025-01940-4,yes_method,GT_FIXED,False
W4396820243,Individual fidelity,B,From Persona to Personalization: A Survey on Role-Playing Language Agents,Jiangjie Chen,2024,13,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2404.18231,no,NONE,False
W4391621414,Individual fidelity,B,LLM Agents in Interaction: Measuring Personality Consistency and Linguistic Alignment in Interacting Populations of Large Language Models,Ivar Frisch,2024,7,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2402.02896,yes_method,OPEN_RATING,True
W4412944944,Individual fidelity,B,BIG5-CHAT: Shaping LLM Personalities Through Training on Human-Grounded Data,Wenkai Li,2025,7,,https://doi.org/10.18653/v1/2025.acl-long.999,yes_method,GT_AGGREGATE,True
W4404782535,Individual fidelity,B,Virtual Personas for Language Models via an Anthology of Backstories,Suhong Moon,2024,6,,https://doi.org/10.18653/v1/2024.emnlp-main.1110,no,NONE,False
W4407546036,Individual fidelity,B,Exploring the Feasibility of Generative AI in Persona Research: A Comparative Analysis of Large Language Model-Generated and Human-Crafted Personas in Obesity Research,Urška Smrke,2025,6,Applied Sciences,https://doi.org/10.3390/app15041937,yes_method,OPEN_RATING,False
W4404780768,Individual fidelity,B,Beyond Demographics: Aligning Role-playing LLM-based Agents Using Human Belief Networks,Yun‐Shiuan Chuang,2024,5,,https://doi.org/10.18653/v1/2024.findings-emnlp.819,yes_method,GT_AGGREGATE,False
W4387724739,Individual fidelity,B,Character-LLM: A Trainable Agent for Role-Playing,Yunfan Shao,2023,4,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2310.10158,no,NONE,False
W4403012237,Individual fidelity,B,Proxona: Supporting Creators' Sensemaking and Ideation with LLM-Powered Audience Personas,Yoonseo Choi,2024,4,ArXiv.org,https://doi.org/10.48550/arxiv.2408.10937,yes_method,OPEN_RATING,True
W4400518809,Individual fidelity,B,Virtual Personas for Language Models via an Anthology of Backstories,Suhong Moon,2024,3,ArXiv.org,https://doi.org/10.48550/arxiv.2407.06576,yes_method,OPEN_RATING,True
W4404782489,Individual fidelity,B,Modeling Human Subjectivity in LLMs Using Explicit and Implicit Human Factors in Personas,Salvatore Giorgi,2024,3,,https://doi.org/10.18653/v1/2024.findings-emnlp.420,yes_method,GT_FIXED,False
W4404260950,Individual fidelity,B,BIG5-CHAT: Shaping LLM Personalities Through Training on Human-Grounded Data,Wenkai Li,2024,3,ArXiv.org,https://doi.org/10.48550/arxiv.2410.16491,yes_method,GT_AGGREGATE,True
W4410611668,Individual fidelity,B,Talk With Socrates: Relation Between Perceived Agent Personality and User Personality in LLM‐Based Natural Language Dialogue Using Virtual Reality,Mehmet Efe Sak,2025,3,Computer Animation and Virtual Worlds,https://doi.org/10.1002/cav.70033,yes_method,OPEN_RATING,True
W4386907477,Individual fidelity,B,Writer-Defined AI Personas for On-Demand Feedback Generation,Karim Benharrak,2023,2,ArXiv.org,https://doi.org/10.48550/arxiv.2309.10433,no,NONE,False
W4411154040,Individual fidelity,B,Intelligent Digital Twin for Predicting Technology Discourse Patterns: Agent-Based Modeling of User Interactions and Sentiment Dynamics in DeepSeek Discourse Case,Kaihang Zhang,2025,2,Systems,https://doi.org/10.3390/systems13060451,yes_method,GT_AGGREGATE,False
W4391901256,Individual fidelity,B,ControlLM: Crafting Diverse Personalities for Language Models,Yixuan Weng,2024,2,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2402.10151,no,NONE,False
W4387561066,Individual fidelity,B,"Improved prompting and process for writing user personas with LLMs, using qualitative interviews: Capturing behaviour and personality traits of users",Stefano De Paoli,2023,2,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2310.06391,no,NONE,False
W7125596608,Individual fidelity,B,Simulating Misinformation Vulnerabilities with Agent Personas,David Farr,2025,1,,https://doi.org/10.1109/wsc68292.2025.11338973,yes_method,OPEN_RATING,True
W4412754106,Individual fidelity,B,Deterministic AI Agent Personality Expression through Standard Psychological Diagnostics,J. M. Diederik Kruijssen,2025,1,,https://doi.org/10.31234/osf.io/kf4dq_v1,no,NONE,False
